Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,104.0,1.0,104.0,104.0,0.1,66.16699999999994,0.0,0.0,0.0049419403076171875,,,,,,,,,,,,,,,,,,,,,25.57616986327435,20.735095961286973,63.63428326646911,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,279.0,2.0,175.0,279.0,0.1,101.50499999999981,0.0,0.0,15.70434832572937,,,,,,,,,,,,,,,,,,,,,42.32529762644979,30.632552825204222,94.2865517322842,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,350.0,3.0,71.0,350.0,0.1,41.36639999999997,0.0,0.0,22.38866949081421,,,,,,,,,,,,,,,,,,,,,14.982237950489905,13.646906687838039,40.38338749712195,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,542.0,4.0,192.0,542.0,0.1,109.98579999999994,0.0,0.0,39.47978162765503,,,,,,,,,,,,,,,,,,,,,45.49305562172848,31.558866439192016,101.45393974618082,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,701.0,5.0,159.0,701.0,0.1,79.10479999999995,0.0,0.0,53.98656105995178,,,,,,,,,,,,,,,,,,,,,35.99818331202086,22.326944422245468,73.52807146825373,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,774.0,6.0,73.0,774.0,0.1,34.14759999999997,0.0,0.0,60.82920789718628,,,,,,,,,,,,,,,,,,,,,11.36770327700907,10.78231184983098,33.3844932628107,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,919.0,7.0,145.0,919.0,0.1,91.20539999999998,0.0,0.0,73.90935826301575,,,,,,,,,,,,,,,,,,,,,40.05941628696757,26.79216086209894,85.56783474003502,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,992.0,8.0,73.0,992.0,0.1,32.61319999999997,0.0,0.0,80.79654550552368,,,,,,,,,,,,,,,,,,,,,10.016235238225354,10.647522812352861,31.945874630996915,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,1040.0,9.0,48.0,1040.0,0.1,17.267200000000013,0.0,0.0,85.59984683990479,,,,,,,,,,,,,,,,,,,,,4.662135064404556,5.476899331339298,17.07755555045394,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,1178.0,10.0,138.0,1178.0,0.1,79.30439999999999,0.0,0.0,98.28966188430786,,,,,,,,,,,,,,,,,,,,,32.35589747869071,21.808811655988936,74.98918953782683,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
