Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,57.0,1.0,57.0,57.0,0.1,29.84600000000001,0.0,0.0,0.005719900131225586,,,,,,,,,,,,,,,,,,,,,9.936544197309116,9.839999567959362,29.338264170830872,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,94.0,2.0,37.0,94.0,0.1,12.325999999999999,0.0,0.0,3.6374306678771973,,,,,,,,,,,,,,,,,,,,,3.354331128021071,3.8856507222176964,12.226330182297632,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,156.0,3.0,62.0,156.0,0.1,27.665999999999986,0.0,0.0,9.520414113998413,,,,,,,,,,,,,,,,,,,,,8.99753803438531,8.622101299635203,27.16245038017809,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,252.0,4.0,96.0,252.0,0.1,27.42380000000001,0.0,0.0,18.239655256271362,,,,,,,,,,,,,,,,,,,,,10.705430511500921,6.351702513463465,26.448950122190166,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,306.0,5.0,54.0,306.0,0.1,33.28519999999998,0.0,0.0,23.56472682952881,,,,,,,,,,,,,,,,,,,,,12.21420351498205,11.008502244941782,32.69098228377624,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,347.0,6.0,41.0,347.0,0.1,20.72580000000001,0.0,0.0,27.654770374298096,,,,,,,,,,,,,,,,,,,,,6.940302756181759,7.089898594552074,20.482191487780618,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,414.0,7.0,67.0,414.0,0.1,44.485399999999956,0.0,0.0,33.89966535568237,,,,,,,,,,,,,,,,,,,,,17.454351076739687,14.561116248643636,43.40272051617028,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,446.0,8.0,32.0,446.0,0.1,11.9462,0.0,0.0,37.12570309638977,,,,,,,,,,,,,,,,,,,,,3.3482818427909695,3.9587795669318964,11.862768655573175,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,508.0,9.0,62.0,508.0,0.1,28.184600000000003,0.0,0.0,42.84205985069275,,,,,,,,,,,,,,,,,,,,,10.71212834957316,8.113015689996418,27.575571609974798,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,541.0,10.0,33.0,541.0,0.1,15.1852,0.0,0.0,46.35919404029846,,,,,,,,,,,,,,,,,,,,,4.743586805970506,5.173878422125109,15.058764104848564,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,568.0,11.0,27.0,568.0,0.1,11.185599999999997,0.0,0.0,49.266008377075195,,,,,,,,,,,,,,,,,,,,,3.5150173932728914,3.873784075593218,11.11290923594429,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,617.0,12.0,49.0,617.0,0.1,32.0846,0.0,0.0,53.96190309524536,,,,,,,,,,,,,,,,,,,,,12.618582959930563,10.745406678476575,31.52931653872432,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,639.0,13.0,22.0,639.0,0.1,7.664999999999999,0.0,0.0,56.35106062889099,,,,,,,,,,,,,,,,,,,,,2.130710032408332,2.6222142769075982,7.633383512929362,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,691.0,14.0,52.0,691.0,0.1,22.445200000000003,0.0,0.0,61.23135828971863,,,,,,,,,,,,,,,,,,,,,8.257544821831154,6.607416409343828,22.05990542019976,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,730.0,15.0,39.0,730.0,0.1,21.745000000000008,0.0,0.0,65.2797737121582,,,,,,,,,,,,,,,,,,,,,7.8163209230218875,7.442460503161736,21.48310821732858,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,0.0,753.0,16.0,23.0,753.0,0.1,6.425,0.0,0.0,67.78189444541931,,,,,,,,,,,,,,,,,,,,,1.6602298765706172,2.0950287126671947,6.399607528287925,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,0.0,786.0,17.0,33.0,786.0,0.1,11.686799999999998,0.0,0.0,71.1120445728302,,,,,,,,,,,,,,,,,,,,,3.0694517091228923,3.8044279335989377,11.608713912710453,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,828.0,18.0,42.0,828.0,0.1,16.367000000000015,0.0,0.0,75.1584906578064,,,,,,,,,,,,,,,,,,,,,4.616547156445703,5.3036538086330225,16.205499813556578,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,852.0,19.0,24.0,852.0,0.1,10.124599999999997,0.0,0.0,77.75039553642273,,,,,,,,,,,,,,,,,,,,,3.159001632804177,3.539084978292005,10.068911715331648,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
