Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
1,0.0,0.0,0.0,52.0,1.0,52.0,52.0,0.1,22.522000000000034,0.0,0.0,0.004997730255126953,,,,,,,,,,,,,,,,,,,,,5.570145296434874,7.448505023974865,22.276883935572595,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.0,0.0,0.0,83.0,2.0,31.0,83.0,0.1,9.51399999999999,0.0,0.0,3.369445323944092,,,,,,,,,,,,,,,,,,,,,2.051662654066362,3.088565588252026,9.469327643683668,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.0,0.0,0.0,150.0,3.0,67.0,150.0,0.1,36.91399999999997,0.0,0.0,9.744829416275024,,,,,,,,,,,,,,,,,,,,,12.758552386036458,11.554994697878135,36.13140366606402,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.0,0.0,0.0,181.0,4.0,31.0,181.0,0.1,9.61299999999999,0.0,0.0,12.864857196807861,,,,,,,,,,,,,,,,,,,,,2.108660508321407,3.115769831777271,9.566755468423416,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.0,0.0,0.0,235.0,5.0,54.0,235.0,0.1,23.018000000000036,0.0,0.0,18.042979955673218,,,,,,,,,,,,,,,,,,,,,5.7260247835923295,7.485823765474824,22.75428046834223,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.0,0.0,0.0,266.0,6.0,31.0,266.0,0.1,10.01399999999999,0.0,0.0,21.485572338104248,,,,,,,,,,,,,,,,,,,,,2.196244652036135,3.2923217616174023,9.965838126201156,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.0,0.0,0.0,316.0,7.0,50.0,316.0,0.1,18.61400000000002,0.0,0.0,26.369215726852417,,,,,,,,,,,,,,,,,,,,,5.455006793779738,5.62612092176242,18.377987256837436,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.0,0.0,0.0,344.0,8.0,28.0,344.0,0.1,6.613000000000002,0.0,0.0,29.349611520767212,,,,,,,,,,,,,,,,,,,,,1.3096143134772347,2.071932259575774,6.589503216151724,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.0,0.0,0.0,387.0,9.0,43.0,387.0,0.1,10.025999999999984,0.0,0.0,33.64666533470154,,,,,,,,,,,,,,,,,,,,,1.593613933153634,2.964645963946483,9.977419462379695,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.0,0.0,0.0,410.0,10.0,23.0,410.0,0.1,7.909000000000002,0.0,0.0,36.28283739089966,,,,,,,,,,,,,,,,,,,,,1.9795757917055117,2.722083808075103,7.87922031820687,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.0,0.0,0.0,439.0,11.0,29.0,439.0,0.1,9.911999999999992,0.0,0.0,39.52501678466797,,,,,,,,,,,,,,,,,,,,,2.3693223411769053,3.294359775512236,9.863005800701474,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.0,0.0,0.0,496.0,12.0,57.0,496.0,0.1,17.416000000000015,0.0,0.0,45.101922273635864,,,,,,,,,,,,,,,,,,,,,5.6647127741074845,4.8122024297536266,17.127348942411754,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.0,0.0,0.0,519.0,13.0,23.0,519.0,0.1,6.910000000000002,0.0,0.0,47.537490367889404,,,,,,,,,,,,,,,,,,,,,1.5948543858050714,2.335065370585784,6.887085633307466,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.0,0.0,0.0,603.0,14.0,84.0,603.0,0.1,13.056999999999965,0.0,0.0,55.27284097671509,,,,,,,,,,,,,,,,,,,,,4.198847524786835,2.584689133465654,12.72974356530496,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.0,0.0,0.0,654.0,15.0,51.0,654.0,0.1,24.81200000000002,0.0,0.0,60.48690152168274,,,,,,,,,,,,,,,,,,,,,8.65119791497553,7.926198182509093,24.41960369412079,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,0.0,0.0,0.0,677.0,16.0,23.0,677.0,0.1,4.313000000000003,0.0,0.0,62.977500677108765,,,,,,,,,,,,,,,,,,,,,0.8207962037195287,1.376285676979147,4.302722830252127,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.0,0.0,0.0,702.0,17.0,25.0,702.0,0.1,6.912000000000003,0.0,0.0,65.75087547302246,,,,,,,,,,,,,,,,,,,,,1.4692031669734393,2.2811396844049545,6.889041114012576,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.0,0.0,0.0,762.0,18.0,60.0,762.0,0.1,17.610000000000007,0.0,0.0,71.64964556694031,,,,,,,,,,,,,,,,,,,,,5.9036527958154,4.52639548194203,17.290344230367577,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,0.0,0.0,0.0,793.0,19.0,31.0,793.0,0.1,10.512999999999991,0.0,0.0,74.89781093597412,,,,,,,,,,,,,,,,,,,,,2.4199816712755062,3.471650998669225,10.45888788507272,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.0,0.0,0.0,946.0,20.0,153.0,946.0,0.1,51.25800000000005,0.0,0.0,88.86133241653442,,,,,,,,,,,,,,,,,,,,,19.414763472018688,12.362919756550426,48.38426132717416,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1.0,0.0,0.0,46.0,1.0,46.0,992.0,0.1,11.724999999999984,0.0,0.0,182.2950737476349,,,,,,,,,,,,,,,,,,,,,2.000400717327611,3.4926684622508684,11.656282475671803,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1.0,0.0,0.0,79.0,2.0,33.0,1025.0,0.1,12.012999999999991,0.0,0.0,185.91521644592285,,,,,,,,,,,,,,,,,,,,,2.8911628372764446,3.974798074327941,11.941462610127523,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.0,0.0,0.0,134.0,3.0,55.0,1080.0,0.1,34.51299999999998,0.0,0.0,191.3435664176941,,,,,,,,,,,,,,,,,,,,,11.71065424108742,11.720988765383153,33.93675358716092,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,1.0,0.0,0.0,164.0,4.0,30.0,1110.0,0.1,11.312999999999992,0.0,0.0,194.51805758476257,,,,,,,,,,,,,,,,,,,,,2.7921087986485205,3.8307885552478065,11.251728942195996,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,1.0,0.0,0.0,196.0,5.0,32.0,1142.0,0.1,9.01599999999999,0.0,0.0,197.87698197364807,,,,,,,,,,,,,,,,,,,,,1.7871800097809338,2.8804955641609924,8.976754772477195,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,1.0,0.0,0.0,236.0,6.0,40.0,1182.0,0.1,20.81300000000002,0.0,0.0,202.13936042785645,,,,,,,,,,,,,,,,,,,,,6.383495278380673,7.110025749262117,20.598837264556625,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.0,0.0,0.0,304.0,7.0,68.0,1250.0,0.1,17.630000000000027,0.0,0.0,208.60566449165344,,,,,,,,,,,,,,,,,,,,,5.053649145265649,5.118376956453476,17.32097649012569,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,1.0,0.0,0.0,332.0,8.0,28.0,1278.0,0.1,9.511999999999992,0.0,0.0,211.6356279850006,,,,,,,,,,,,,,,,,,,,,2.1982709713929998,3.2007155374595637,9.469377698820942,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,366.0,9.0,34.0,1312.0,0.1,11.91599999999999,0.0,0.0,215.0923411846161,,,,,,,,,,,,,,,,,,,,,2.680316191698665,3.946336275117753,11.848554509947633,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,393.0,10.0,27.0,1339.0,0.1,8.812999999999992,0.0,0.0,217.93060612678528,,,,,,,,,,,,,,,,,,,,,1.9998183272557293,2.96572422569253,8.77654922706901,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,426.0,11.0,33.0,1372.0,0.1,14.509999999999993,0.0,0.0,221.57771921157837,,,,,,,,,,,,,,,,,,,,,4.047001105923279,4.9049949562168775,14.4052450483562,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,475.0,12.0,49.0,1421.0,0.1,23.71500000000003,0.0,0.0,226.41428327560425,,,,,,,,,,,,,,,,,,,,,6.593861634019139,7.929396676729925,23.43875485087997,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,497.0,13.0,22.0,1443.0,0.1,5.411000000000002,0.0,0.0,228.91792249679565,,,,,,,,,,,,,,,,,,,,,1.1105064646703093,1.7961579722108283,5.397358176772623,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,522.0,14.0,25.0,1468.0,0.1,8.409999999999993,0.0,0.0,231.72079038619995,,,,,,,,,,,,,,,,,,,,,2.0572554915357006,2.844225942905529,8.37531085911899,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,563.0,15.0,41.0,1509.0,0.1,15.315999999999988,0.0,0.0,235.86142253875732,,,,,,,,,,,,,,,,,,,,,3.5345538103968526,5.001536705639267,15.201471034371442,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,586.0,16.0,23.0,1532.0,0.1,3.412999999999999,0.0,0.0,238.62794256210327,,,,,,,,,,,,,,,,,,,,,0.6342694869365547,1.073530770710681,3.4052188342501255,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,610.0,17.0,24.0,1556.0,0.1,7.311000000000003,0.0,0.0,241.3943908214569,,,,,,,,,,,,,,,,,,,,,1.695309366793073,2.4597903273603148,7.284875040402732,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,676.0,18.0,66.0,1622.0,0.1,19.127000000000002,0.0,0.0,247.8126344680786,,,,,,,,,,,,,,,,,,,,,5.475414813648617,4.83801856664994,18.803210239568088,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,699.0,19.0,23.0,1645.0,0.1,7.212000000000003,0.0,0.0,250.4173629283905,,,,,,,,,,,,,,,,,,,,,1.6395814948526777,2.4822401611017106,7.188659756471577,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,735.0,20.0,36.0,1681.0,0.1,12.71299999999999,0.0,0.0,254.1902666091919,,,,,,,,,,,,,,,,,,,,,3.0091550469384947,4.117387391555791,12.629917623639875,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,27.0,1.0,27.0,1708.0,0.1,9.910999999999992,0.0,0.0,348.3540904521942,,,,,,,,,,,,,,,,,,,,,2.455468509099908,3.3835496736731177,9.864421328489955,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,151.0,2.0,124.0,1832.0,0.1,62.62500000000003,0.0,0.0,359.673903465271,,,,,,,,,,,,,,,,,,,,,30.782484330199004,18.271607356198253,58.925764546383576,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,185.0,3.0,34.0,1866.0,0.1,15.411999999999992,0.0,0.0,363.3421175479889,,,,,,,,,,,,,,,,,,,,,4.257299356509853,5.280598184939706,15.297832188423325,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,287.0,4.0,102.0,1968.0,0.1,21.1680000000001,0.0,0.0,372.68320989608765,,,,,,,,,,,,,,,,,,,,,2.6114679316168643,5.5029830249693354,20.943496320118985,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,365.0,5.0,78.0,2046.0,0.1,26.710000000000036,0.0,0.0,380.02668833732605,,,,,,,,,,,,,,,,,,,,,9.717830165006065,6.714095396953243,26.003991225589477,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,464.0,6.0,99.0,2145.0,0.1,22.648000000000096,0.0,0.0,389.1624414920807,,,,,,,,,,,,,,,,,,,,,6.125286456798367,4.931484707798531,22.08574604712516,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,527.0,7.0,63.0,2208.0,0.1,17.715000000000014,0.0,0.0,395.28517293930054,,,,,,,,,,,,,,,,,,,,,6.164399855791005,5.056953893671577,17.361348144025072,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,0.0,555.0,8.0,28.0,2236.0,0.1,9.811999999999992,0.0,0.0,398.40396881103516,,,,,,,,,,,,,,,,,,,,,2.3932909706704137,3.2936932371457797,9.764507102519168,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,588.0,9.0,33.0,2269.0,0.1,11.01499999999999,0.0,0.0,401.9244577884674,,,,,,,,,,,,,,,,,,,,,2.4260902437643423,3.6188585784067007,10.956841748611252,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,612.0,10.0,24.0,2293.0,0.1,7.411000000000002,0.0,0.0,404.5457217693329,,,,,,,,,,,,,,,,,,,,,1.6747872653934806,2.51294331025986,7.385568857777255,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,645.0,11.0,33.0,2326.0,0.1,13.911999999999992,0.0,0.0,407.9990043640137,,,,,,,,,,,,,,,,,,,,,3.6971060946047705,4.714589422159283,13.817616915091312,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,698.0,12.0,53.0,2379.0,0.1,8.635999999999978,0.0,0.0,413.2791631221771,,,,,,,,,,,,,,,,,,,,,1.052023771006171,2.2700075048880692,8.597429000709099,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,720.0,13.0,22.0,2401.0,0.1,5.411000000000002,0.0,0.0,416.0334482192993,,,,,,,,,,,,,,,,,,,,,1.1105064646703093,1.7961579722108283,5.397358176772623,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,770.0,14.0,50.0,2451.0,0.1,16.42100000000001,0.0,0.0,420.90854716300964,,,,,,,,,,,,,,,,,,,,,4.851975486831697,4.556741846388515,16.210806628108003,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,2.0,0.0,0.0,811.0,15.0,41.0,2492.0,0.1,21.01000000000002,0.0,0.0,425.11034512519836,,,,,,,,,,,,,,,,,,,,,7.021550162708106,7.03558761859295,20.76362292555716,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.0,0.0,0.0,835.0,16.0,24.0,2516.0,0.1,4.413000000000003,0.0,0.0,427.77159428596497,,,,,,,,,,,,,,,,,,,,,0.8327337500558842,1.388311115310424,4.401813615415877,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,2.0,0.0,0.0,876.0,17.0,41.0,2557.0,0.1,18.514000000000024,0.0,0.0,431.8736927509308,,,,,,,,,,,,,,,,,,,,,5.002576583167573,6.210531031171232,18.345567148820624,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,2.0,0.0,0.0,928.0,18.0,52.0,2609.0,0.1,25.51200000000002,0.0,0.0,437.106817483902,,,,,,,,,,,,,,,,,,,,,7.802892570478832,8.17699860017957,25.156537504807208,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,2.0,0.0,0.0,955.0,19.0,27.0,2636.0,0.1,8.511999999999992,0.0,0.0,440.0507867336273,,,,,,,,,,,,,,,,,,,,,1.8922844028845138,2.841795846733643,8.477855554375317,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,996.0,20.0,41.0,2677.0,0.1,16.014000000000014,0.0,0.0,444.1109118461609,,,,,,,,,,,,,,,,,,,,,4.154504880540338,5.164650945376415,15.875400224947523,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,0.0,46.0,1.0,46.0,2723.0,0.1,20.513000000000023,0.0,0.0,563.9257524013519,,,,,,,,,,,,,,,,,,,,,6.41898972792848,6.7134714708166445,20.258222659611857,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,88.0,2.0,42.0,2765.0,0.1,12.120999999999986,0.0,0.0,568.3751096725464,,,,,,,,,,,,,,,,,,,,,2.3286293824761835,3.7478690358741917,12.047280078813554,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,129.0,3.0,41.0,2806.0,0.1,11.017999999999986,0.0,0.0,572.4471940994263,,,,,,,,,,,,,,,,,,,,,2.089492861913428,3.3338966310703775,10.954228295023308,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,0.0,217.0,4.0,88.0,2894.0,0.1,20.85500000000008,0.0,0.0,580.6762425899506,,,,,,,,,,,,,,,,,,,,,2.9865393637160342,5.7089831618070175,20.6334307640904,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,0.0,279.0,5.0,62.0,2956.0,0.1,33.51499999999997,0.0,0.0,586.6325724124908,,,,,,,,,,,,,,,,,,,,,11.284725161253688,10.87518140422547,32.88107631154904,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,0.0,322.0,6.0,43.0,2999.0,0.1,17.113000000000024,0.0,0.0,591.5589625835419,,,,,,,,,,,,,,,,,,,,,4.593052787943395,5.474065825981378,16.949380541821533,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,0.0,387.0,7.0,65.0,3064.0,0.1,15.634999999999977,0.0,0.0,597.769229888916,,,,,,,,,,,,,,,,,,,,,4.446499690172238,3.730178750026569,15.376715574572383,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.0,0.0,0.0,428.0,8.0,41.0,3105.0,0.1,13.413999999999989,0.0,0.0,601.9014537334442,,,,,,,,,,,,,,,,,,,,,3.1073993914816804,4.1907281084714265,13.31320973120193,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3.0,0.0,0.0,473.0,9.0,45.0,3150.0,0.1,11.615999999999985,0.0,0.0,606.4582159519196,,,,,,,,,,,,,,,,,,,,,2.2529032298567353,3.3843682574839797,11.537683183339947,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,3.0,0.0,0.0,499.0,10.0,26.0,3176.0,0.1,8.010999999999992,0.0,0.0,609.427551984787,,,,,,,,,,,,,,,,,,,,,1.8107307309739786,2.6648614582108046,7.9798727666552205,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,3.0,0.0,0.0,527.0,11.0,28.0,3204.0,0.1,9.410999999999992,0.0,0.0,612.5853245258331,,,,,,,,,,,,,,,,,,,,,2.3105615106691064,3.117346259706701,9.365024962601508,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,3.0,0.0,0.0,585.0,12.0,58.0,3262.0,0.1,22.424000000000042,0.0,0.0,618.432359457016,,,,,,,,,,,,,,,,,,,,,6.613020973459053,6.3170741366638845,22.084591882712925,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,3.0,0.0,0.0,610.0,13.0,25.0,3287.0,0.1,6.512000000000002,0.0,0.0,621.123717546463,,,,,,,,,,,,,,,,,,,,,1.325777824987425,2.1279984864867836,6.491832727998585,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,3.0,0.0,0.0,740.0,14.0,130.0,3417.0,0.1,45.727999999999994,0.0,0.0,632.9904589653015,,,,,,,,,,,,,,,,,,,,,21.69793413150555,13.430987782549872,42.99321199367966,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,3.0,0.0,0.0,784.0,15.0,44.0,3461.0,0.1,13.220999999999986,0.0,0.0,637.4822883605957,,,,,,,,,,,,,,,,,,,,,2.593632413521363,4.096925931508506,13.133133307286332,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,3.0,0.0,0.0,842.0,16.0,58.0,3519.0,0.1,7.63600000000001,0.0,0.0,643.5670230388641,,,,,,,,,,,,,,,,,,,,,3.0581704403725145,1.8394407403464703,7.473565772437498,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,3.0,0.0,0.0,866.0,17.0,24.0,3543.0,0.1,7.311000000000003,0.0,0.0,646.2204971313477,,,,,,,,,,,,,,,,,,,,,1.695309366793073,2.4597903273603148,7.284875040402732,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,3.0,0.0,0.0,918.0,18.0,52.0,3595.0,0.1,28.615000000000027,0.0,0.0,651.4110908508301,,,,,,,,,,,,,,,,,,,,,8.710124050027659,9.71416702983489,28.21848229550729,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,3.0,0.0,0.0,944.0,19.0,26.0,3621.0,0.1,8.411999999999992,0.0,0.0,654.1733827590942,,,,,,,,,,,,,,,,,,,,,1.9073221946226784,2.843327562895869,8.379159562906063,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
